Name of Satellite  Alternate Names,Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Angle,Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,new_purpose,new_country,new_year,new_month,new_day,avgDis,new_period,log_period,log_mass,log_dis,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMADILLO (Attitude Related Maneuvers and Debris Instrument in Low (L) Orbit),NR (11/19),USA,Satellite Design Laboratory UT Austin/Baylor University,Civil,Technology Development,NAN,Elliptical,NAN,0,305,851,0.75,0.04,28.5,96.2,4,NAN,NAN,6/25/2019,NAN,UT Austin/Baylor University,USA,Cape Canaveral,Falcon Heavy,2019-036P,44352,Civil,USA,2019,6,25,578,2010 - 2020,1.983175072,0.602059991,2.761927838,,,,,,,,,,,,,,,,,,,,,,,,,,
BRICSat-2 (Ballistically Reinforced Communication Satellite  Navy-Oscar-103),NR (11/19),USA,US Naval Academy Satellite Laboratory,Civil,Technology Development,NAN,Elliptical,NAN,0,300,847,-2.54,0.04,28.5,96.1,6,NAN,NAN,6/25/2019,NAN,US Naval Academy Satellite Laboratory,USA,Cape Canaveral,Falcon Heavy,2019-036S,44355,Civil,USA,2019,6,25,573.5,2010 - 2020,1.982723388,0.77815125,2.758533422,,,,,,,,,,,,,,,,,,,,,,,,,,
Chandra X-Ray Observatory (CXO),USA,USA,National Aeronautics and Space Administration (NASA) Goddard Space Flight Center,Government,Space Science,NAN,Elliptical,Deep Highly Eccentric,0,9999,138825,0.47,0.8,28.5,3808.92,4742,NAN,2500,7/23/1999,5,TRW Space and Electronics,USA,Cape Canaveral,Space Shuttle (STS 93),1999-040B,25867,Government,USA,1999,7,23,74412,1990 - 1999,3.580801851,3.67596155,4.871642977,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS-1 (Integrated Space System  Cosmos 2510  Tundra 11L),Russia,Russia,Ministry of Defense,Military,Earth Observation,Early Warning,Elliptical,Molniya,0,1606,38662,0.21,0.7,63,715,NAN,NAN,NAN,11/17/2015,NAN,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1,2015-066A,41032,Military,Russia,2015,11,17,20134,2010 - 2020,2.854306042,NaN,4.303930064,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS-2 (Integrated Space System  Cosmos 2518  Tundra 12L),Russia,Russia,Ministry of Defense,Military,Earth Observation,Early Warning,Elliptical,Molniya,0,1650,38511,-2.53,0.7,63.8,713.8,NAN,NAN,NAN,5/25/2017,NAN,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2017-027A,42719,Military,Russia,2017,5,25,20080.5,2010 - 2020,2.853576544,NaN,4.302774522,,,,,,,,,,,,,,,,,,,,,,,,,,
EKS-3 (Integrated Space System  Cosmos 2541  Tundra 13L),NR (3/20),Russia,Ministry of Defense,Military,Earth Observation,Early Warning,Elliptical,Molniya,0,1615,38737,1.03,0.7,63.8,717.7,NAN,NAN,NAN,9/26/2019,NAN,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1b,2019-065A,44552,Military,Russia,2019,9,26,20176,2010 - 2020,2.855942946,NaN,4.304835069,,,,,,,,,,,,,,,,,,,,,,,,,,
ERG (Exploration of Energization and Radiation in Geospace  Arase),Japan,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Space Science,NAN,Elliptical,NAN,0,460,33200,1.13,0.71,31,580,350,NAN,750,12/20/2016,1,Japan Aerospace Exploration Agency (JAXA),Japan,Uchinoura Space Center,Epsilon,2016-080A,41896,Government,Others,2016,12,20,16830,2010 - 2020,2.763427994,2.544068044,4.226084116,,,,,,,,,,,,,,,,,,,,,,,,,,
E-TBEx A (Enhanced Tandem Beacon Experiment),NR (11/19),USA,National Aeronautics and Space Administration (NASA),Government,Technology Development,NAN,Elliptical,NAN,0,298,845,0.51,0.04,28.5,96.1,4,NAN,NAN,6/25/2019,NAN,SRI International,USA,Cape Canaveral,Falcon Heavy,2019-036K,44348,Government,USA,2019,6,25,571.5,2010 - 2020,1.982723388,0.602059991,2.757016235,,,,,,,,,,,,,,,,,,,,,,,,,,
E-TBEx B (Enhanced Tandem Beacon Experiment),NR (11/19),USA,National Aeronautics and Space Administration (NASA),Government,Technology Development,NAN,Elliptical,NAN,0,305,846,-0.41,0.04,28.5,96.1,4,NAN,NAN,6/25/2019,NAN,SRI International,USA,Cape Canaveral,Falcon Heavy,2019-036W,44359,Government,USA,2019,6,25,575.5,2010 - 2020,1.982723388,0.602059991,2.760045328,,,,,,,,,,,,,,,,,,,,,,,,,,
Falconsat-7,USA,USA,US Air Force Academy,Military/Civil,Technology Development,NAN,Elliptical,NAN,0,305,850,2.66,0.04,28.5,96.2,5,NAN,NAN,6/25/2019,NAN,US Air Force Academy,USA,Cape Canaveral,Falcon Heavy,2019-036J,44347,Multi-purpose,USA,2019,6,25,577.5,2010 - 2020,1.983175072,0.698970004,2.761551989,,,,,,,,,,,,,,,,,,,,,,,,,,
